"month","day","broad.behavior","lon","Freq"
"8","10","Active movement","-115.66496",0
"5","14","Active movement","-115.66496",0
"8","14","Active movement","-115.66496",0
"5","15","Active movement","-115.66496",0
"8","15","Active movement","-115.66496",0
"5","16","Active movement","-115.66496",0
"8","16","Active movement","-115.66496",0
"5","17","Active movement","-115.66496",0
"8","17","Active movement","-115.66496",0
"5","18","Active movement","-115.66496",0
"8","18","Active movement","-115.66496",0
"5","19","Active movement","-115.66496",0
"8","19","Active movement","-115.66496",0
"5","20","Active movement","-115.66496",0
"8","20","Active movement","-115.66496",0
"5","21","Active movement","-115.66496",0
"8","21","Active movement","-115.66496",0
"5","22","Active movement","-115.66496",0
"8","22","Active movement","-115.66496",0
"5","23","Active movement","-115.66496",0
"8","23","Active movement","-115.66496",0
"5","24","Active movement","-115.66496",0
"8","24","Active movement","-115.66496",0
"5","1","Cleaning","-115.66496",0
"8","1","Cleaning","-115.66496",0
"5","2","Cleaning","-115.66496",0
"8","2","Cleaning","-115.66496",0
"5","3","Cleaning","-115.66496",0
"8","3","Cleaning","-115.66496",0
"5","4","Cleaning","-115.66496",0
"8","4","Cleaning","-115.66496",0
"5","5","Cleaning","-115.66496",0
"8","5","Cleaning","-115.66496",0
"5","6","Cleaning","-115.66496",0
"8","6","Cleaning","-115.66496",0
"5","7","Cleaning","-115.66496",0
"8","7","Cleaning","-115.66496",0
"5","8","Cleaning","-115.66496",0
"8","8","Cleaning","-115.66496",0
"5","9","Cleaning","-115.66496",0
"8","9","Cleaning","-115.66496",0
"5","10","Cleaning","-115.66496",0
"8","10","Cleaning","-115.66496",0
"5","14","Cleaning","-115.66496",0
"8","14","Cleaning","-115.66496",0
"5","15","Cleaning","-115.66496",0
"8","15","Cleaning","-115.66496",0
"5","16","Cleaning","-115.66496",0
"8","16","Cleaning","-115.66496",0
"5","17","Cleaning","-115.66496",0
"8","17","Cleaning","-115.66496",0
"5","18","Cleaning","-115.66496",0
"8","18","Cleaning","-115.66496",0
"5","19","Cleaning","-115.66496",0
"8","19","Cleaning","-115.66496",0
"5","20","Cleaning","-115.66496",0
"8","20","Cleaning","-115.66496",0
"5","21","Cleaning","-115.66496",0
"8","21","Cleaning","-115.66496",0
"5","22","Cleaning","-115.66496",0
"8","22","Cleaning","-115.66496",0
"5","23","Cleaning","-115.66496",0
"8","23","Cleaning","-115.66496",0
"5","24","Cleaning","-115.66496",0
"8","24","Cleaning","-115.66496",0
"5","1","Feeding","-115.66496",0
"8","1","Feeding","-115.66496",0
"5","2","Feeding","-115.66496",0
"8","2","Feeding","-115.66496",0
"5","3","Feeding","-115.66496",0
"8","3","Feeding","-115.66496",0
"5","4","Feeding","-115.66496",0
"8","4","Feeding","-115.66496",0
"5","5","Feeding","-115.66496",0
"8","5","Feeding","-115.66496",0
"5","6","Feeding","-115.66496",0
"8","6","Feeding","-115.66496",0
"5","7","Feeding","-115.66496",0
"8","7","Feeding","-115.66496",0
"5","8","Feeding","-115.66496",0
"8","8","Feeding","-115.66496",0
"5","9","Feeding","-115.66496",0
"8","9","Feeding","-115.66496",0
"5","10","Feeding","-115.66496",0
"8","10","Feeding","-115.66496",0
"5","14","Feeding","-115.66496",0
